category,year_month,count
ARTS,2014-04,53
ARTS,2014-05,98
ARTS,2014-06,77
ARTS,2014-07,98
ARTS,2014-08,103
ARTS,2014-09,94
ARTS,2014-10,98
ARTS,2014-11,90
ARTS,2014-12,90
ARTS,2015-01,79
ARTS,2015-02,94
ARTS,2015-03,112
ARTS,2015-04,106
ARTS,2015-05,91
ARTS,2015-06,75
ARTS,2015-07,20
ARTS,2015-08,7
ARTS,2015-09,8
ARTS,2015-10,10
ARTS,2015-11,4
ARTS,2015-12,12
ARTS,2016-01,10
ARTS,2016-02,3
ARTS,2016-03,5
ARTS,2016-04,10
ARTS,2016-05,15
ARTS,2016-06,10
ARTS,2016-07,10
ARTS,2016-08,4
ARTS,2016-09,2
ARTS,2016-10,5
ARTS,2016-11,4
ARTS,2016-12,9
ARTS,2017-01,3
ARTS & CULTURE,2015-07,57
ARTS & CULTURE,2015-08,31
ARTS & CULTURE,2015-09,20
ARTS & CULTURE,2015-10,31
ARTS & CULTURE,2015-11,27
ARTS & CULTURE,2015-12,41
ARTS & CULTURE,2016-01,37
ARTS & CULTURE,2016-02,32
ARTS & CULTURE,2016-03,43
ARTS & CULTURE,2016-04,34
ARTS & CULTURE,2016-05,39
ARTS & CULTURE,2016-06,48
ARTS & CULTURE,2016-07,46
ARTS & CULTURE,2016-08,63
ARTS & CULTURE,2016-09,51
ARTS & CULTURE,2016-10,70
ARTS & CULTURE,2016-11,63
ARTS & CULTURE,2016-12,70
ARTS & CULTURE,2017-01,80
ARTS & CULTURE,2017-02,62
ARTS & CULTURE,2017-03,83
ARTS & CULTURE,2017-04,71
ARTS & CULTURE,2017-05,68
ARTS & CULTURE,2017-06,54
ARTS & CULTURE,2017-07,11
ARTS & CULTURE,2017-08,18
ARTS & CULTURE,2017-09,19
ARTS & CULTURE,2017-10,21
ARTS & CULTURE,2017-11,15
ARTS & CULTURE,2017-12,21
ARTS & CULTURE,2018-01,13
BLACK VOICES,2012-01,9
BLACK VOICES,2012-02,35
BLACK VOICES,2012-03,32
BLACK VOICES,2012-04,36
BLACK VOICES,2012-05,28
BLACK VOICES,2012-06,25
BLACK VOICES,2012-07,29
BLACK VOICES,2012-08,20
BLACK VOICES,2012-09,20
BLACK VOICES,2012-10,20
BLACK VOICES,2012-11,24
BLACK VOICES,2012-12,29
BLACK VOICES,2013-01,50
BLACK VOICES,2013-02,29
BLACK VOICES,2013-03,27
BLACK VOICES,2013-04,13
BLACK VOICES,2013-05,25
BLACK VOICES,2013-06,16
BLACK VOICES,2013-07,49
BLACK VOICES,2013-08,19
BLACK VOICES,2013-09,28
BLACK VOICES,2013-10,20
BLACK VOICES,2013-11,28
BLACK VOICES,2013-12,16
BLACK VOICES,2014-01,26
BLACK VOICES,2014-02,7
BLACK VOICES,2014-03,9
BLACK VOICES,2014-04,14
BLACK VOICES,2014-05,39
BLACK VOICES,2014-06,33
BLACK VOICES,2014-07,30
BLACK VOICES,2014-08,66
BLACK VOICES,2014-09,42
BLACK VOICES,2014-10,27
BLACK VOICES,2014-11,50
BLACK VOICES,2014-12,81
BLACK VOICES,2015-01,56
BLACK VOICES,2015-02,73
BLACK VOICES,2015-03,60
BLACK VOICES,2015-04,48
BLACK VOICES,2015-05,47
BLACK VOICES,2015-06,63
BLACK VOICES,2015-07,80
