,Original Sentence,Lemmatized_text,Stemmed_text
0,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,"[['Now', 'all', '@Apple', 'ha', 'to', 'do', 'is', 'get', 'swype', 'on', 'the', 'iphone', 'and', 'it', 'will', 'be', 'crack.', 'Iphone', 'that', 'is']]","[['now', 'all', '@appl', 'ha', 'to', 'do', 'is', 'get', 'swype', 'on', 'the', 'iphon', 'and', 'it', 'will', 'be', 'crack.', 'iphon', 'that', 'is']]"
1,@Apple will be adding more carrier support to the iPhone 4S (just announced),"[['@Apple', 'will', 'be', 'adding', 'more', 'carrier', 'support', 'to', 'the', 'iPhone', '4S', '(just', 'announced)']]","[['@appl', 'will', 'be', 'ad', 'more', 'carrier', 'support', 'to', 'the', 'iphon', '4s', '(just', 'announced)']]"
2,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,"[['Hilarious', '@youtube', 'video', '-', 'guy', 'doe', 'a', 'duet', 'with', '@apple', ""'s"", 'Siri.', 'Pretty', 'much', 'sum', 'up', 'the', 'love', 'affair!', 'http://t.co/8ExbnQjY']]","[['hilari', '@youtub', 'video', '-', 'guy', 'doe', 'a', 'duet', 'with', '@appl', ""'s"", 'siri.', 'pretti', 'much', 'sum', 'up', 'the', 'love', 'affair!', 'http://t.co/8exbnqji']]"
3,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,"[['@RIM', 'you', 'made', 'it', 'too', 'easy', 'for', 'me', 'to', 'switch', 'to', '@Apple', 'iPhone.', 'See', 'ya!']]","[['@rim', 'you', 'made', 'it', 'too', 'easi', 'for', 'me', 'to', 'switch', 'to', '@appl', 'iphone.', 'see', 'ya!']]"
4,I just realized that the reason I got into twitter was ios5 thanks @apple,"[['I', 'just', 'realized', 'that', 'the', 'reason', 'I', 'got', 'into', 'twitter', 'wa', 'ios5', 'thanks', '@apple']]","[['i', 'just', 'realiz', 'that', 'the', 'reason', 'i', 'got', 'into', 'twitter', 'wa', 'ios5', 'thank', '@appl']]"
5,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone","[[""I'm"", 'a', 'current', '@Blackberry', 'user,', 'little', 'bit', 'disappointed', 'with', 'it!', 'Should', 'I', 'move', 'to', '@Android', 'or', '@Apple', '@iphone']]","[[""i'm"", 'a', 'current', '@blackberri', 'user,', 'littl', 'bit', 'disappoint', 'with', 'it!', 'should', 'i', 'move', 'to', '@android', 'or', '@appl', '@iphon']]"
6,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,"[['The', '16', 'strangest', 'thing', 'Siri', 'ha', 'said', 'so', 'far.', 'I', 'am', 'SOOO', 'glad', 'that', '@Apple', 'gave', 'Siri', 'a', 'sense', 'of', 'humor!', 'http://t.co/TWAeUDBp', 'via', '@HappyPlace']]","[['the', '16', 'strangest', 'thing', 'siri', 'ha', 'said', 'so', 'far.', 'i', 'am', 'sooo', 'glad', 'that', '@appl', 'gave', 'siri', 'a', 'sens', 'of', 'humor!', 'http://t.co/twaeudbp', 'via', '@happyplac']]"
7,Great up close & personal event @Apple tonight in Regent St store!,"[['Great', 'up', 'close', '&', 'personal', 'event', '@Apple', 'tonight', 'in', 'Regent', 'St', 'store!']]","[['great', 'up', 'close', '&', 'person', 'event', '@appl', 'tonight', 'in', 'regent', 'st', 'store!']]"
8,From which companies do you experience the best customer service aside from @zappos and @apple?,"[['From', 'which', 'company', 'do', 'you', 'experience', 'the', 'best', 'customer', 'service', 'aside', 'from', '@zappos', 'and', '@apple?']]","[['from', 'which', 'compani', 'do', 'you', 'experi', 'the', 'best', 'custom', 'servic', 'asid', 'from', '@zappo', 'and', '@apple?']]"
9,"Just apply for a job at @Apple, hope they call me lol","[['Just', 'apply', 'for', 'a', 'job', 'at', '@Apple,', 'hope', 'they', 'call', 'me', 'lol']]","[['just', 'appli', 'for', 'a', 'job', 'at', '@apple,', 'hope', 'they', 'call', 'me', 'lol']]"
10,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...,"[['RT', '@JamaicanIdler:', 'Lmao', 'I', 'think', '@apple', 'is', 'onto', 'something', 'magical!', 'I', 'am', 'DYING!!!', 'haha.', 'Siri', 'suggested', 'where', 'to', 'find', 'whore', 'and', 'where', 'to', 'h', '...']]","[['rt', '@jamaicanidler:', 'lmao', 'i', 'think', '@appl', 'is', 'onto', 'someth', 'magical!', 'i', 'am', 'dying!!!', 'haha.', 'siri', 'suggest', 'where', 'to', 'find', 'whore', 'and', 'where', 'to', 'h', '...']]"
11,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,"[['Lmao', 'I', 'think', '@apple', 'is', 'onto', 'something', 'magical!', 'I', 'am', 'DYING!!!', 'haha.', 'Siri', 'suggested', 'where', 'to', 'find', 'whore', 'and', 'where', 'to', 'hide', 'a', 'body', 'lolol']]","[['lmao', 'i', 'think', '@appl', 'is', 'onto', 'someth', 'magical!', 'i', 'am', 'dying!!!', 'haha.', 'siri', 'suggest', 'where', 'to', 'find', 'whore', 'and', 'where', 'to', 'hide', 'a', 'bodi', 'lolol']]"
12,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!","[['RT', '@PhillipRowntree:', 'Just', 'registered', 'a', 'an', '@apple', 'developer...', ""Here's"", 'hoping', 'I', 'can', 'actually', 'do', 'it...', 'Any', 'help,', 'greatly', 'appreciated!']]","[['rt', '@philliprowntree:', 'just', 'regist', 'as', 'an', '@appl', 'developer...', ""here'"", 'hope', 'i', 'can', 'actual', 'do', 'it...', 'ani', 'help,', 'greatli', 'appreciated!']]"
13,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,"[['Wow.', 'Great', 'deal', 'on', 'refurbed', '#iPad', '(first', 'gen)', 'models.', 'RT:', 'Apple', 'offer', 'great', 'deal', 'on', 'refurbished', '1st-gen', 'iPads', 'http://t.co/ukWOKBGd', '@Apple']]","[['wow.', 'great', 'deal', 'on', 'refurb', '#ipad', '(first', 'gen)', 'models.', 'rt:', 'appl', 'offer', 'great', 'deal', 'on', 'refurbish', '1st-gen', 'ipad', 'http://t.co/ukwokbgd', '@appl']]"
